name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
SAP R/3 functional consultant,,,,,Москва,2003-01-24T21:30:49+0300
Broadcast encryption engineer,,,2000.0,USD,Южная Корея,2003-01-31T18:24:11+0300
Embedded OS engineering manager,,,2000.0,USD,Москва,2003-01-31T18:25:43+0300
Coordinator on Intellectual Property Projects,,,,,Москва,2003-02-12T10:40:50+0300
Outsourcing Projects Coordinator,,,,,Москва,2003-02-14T16:31:06+0300
Software engineer  Project Leader,,,,,Москва,2003-03-11T14:47:06+0300
Localization Project Coordinator,,,,,Москва,2003-03-19T14:22:04+0300
Software engineer (Project Leader ),,,,,Москва,2003-03-19T15:25:12+0300
Software engineer (Project Leader ),,,,,Москва,2003-03-19T15:26:37+0300
Software engineer  (Project Leader),,,,,Москва,2003-03-19T15:27:50+0300
Менеджер по продвижению программных продуктов,,,1000.0,USD,Москва,2003-04-01T18:28:37+0400
Технический писатель,,,300.0,USD,Москва,2003-04-01T18:35:22+0400
Бизнес-аналитик,,,1200.0,USD,Москва,2003-05-14T16:18:16+0400
Специалист по работе с неактивными запасами,,,,,Москва,2003-05-21T17:45:08+0400
Менеджер по работес ключевывми клиентами,,,,,Москва,2003-05-23T14:13:14+0400
Консультант по внедрению Adaytum в крупную западную компанию.,,,,,Москва,2003-05-26T12:57:36+0400
"Консультант по продажам в крупную западную консалтинговую компанию (внедрение ERP, EPP)",,,,,Москва,2003-05-26T12:58:46+0400
Senior Marketing Manager (IT),,,,,Москва,2003-05-26T17:27:49+0400
Специалист по оптимизации товарных запасов,,,1600.0,USD,Москва,2003-06-11T19:11:29+0400
Системный администратор,,,,,Москва,2003-06-18T16:44:18+0400
Сервис-менеджер,,,800.0,USD,Москва,2003-06-18T17:38:56+0400
Менеджер по закупкам,,,1000.0,USD,Москва,2003-06-19T12:41:24+0400
Sales manager,,,1000.0,USD,Москва,2003-06-19T14:37:30+0400
Product manager (Switch/ Multimedia),,,,,Москва,2003-06-25T10:37:35+0400
"Менджер по продажам  проектов АСКУЭ, АСДУЭР, АСУ ТП",,,,,Москва,2003-06-27T10:55:53+0400
"Консультант по модулю FI, СО",,,,,Москва,2003-06-27T11:13:18+0400
"Консультант по модулю SD, ММ",,,,,Москва,2003-06-27T11:17:43+0400
Менеджер по продажам телекоммуникационного оборудования,,,2500.0,USD,Москва,2003-07-09T12:23:21+0400
